id,Flag,bat_name_counterpart,bat_category_type,fermi_name_counterpart,fermi_name_counterpart2,fermi_category_type,separation,bat_id,bat_pindex,bat_pindex_errm,bat_pindex_errp,bat_flux,bat_flux_errm,bat_flux_errp,bat_ra,bat_dec,bat_redshift,fermi_id,fermi_pindex_PL,fermi_pindex_PL_err,fermi_flux,fermi_flux_errm,fermi_flux_errp,fermi_var_index,fermi_ra,fermi_dec,match_with_1FLE,match_4FGLand1FLE_IDmatch,LP_alpha,LP_alpha_err,LP_beta,LP_beta_err,LP_K,LP_K_err,LP_redchi2,LP_dof,BPL_index1,BPL_index1_err,BPL_index2,BPL_index2_err,BPL_Eb,BPL_Eb_err,BPL_K,BPL_K_err,BPL_redchi2,BPL_dof,2compModel_Flux1to10MeV,Model
11,M,2MASX J02141794+5144520,Beamed AGN,TXS 0210+515,,bll,0.029799156,114,2.58,0.39,0.46,1.37E-11,1.81E-12,1.67E-12,33.553,51.772,0.049,466,1.903795838,0.080524765,5.28E-12,5.32E-13,5.32E-13,13.49371338,33.59460068,51.75699997,0,0,2.3,0.03,-0.0528,0.0115,1.10E-06,1.86E-07,0.9,11,2.57,0.235,1.91,0.0729,4400000,8620000,9.03E-13,7.88E-13,1.1,10,1.97E-12,LP
12,M,QSO B0229+200,Beamed AGN,1ES 0229+200,,bll,0.035510379,131,2.28,0.28,0.31,2.35E-11,2.27E-12,2.62E-12,38.188,20.29,0.1396,541,1.788012624,0.09651687,3.68E-12,5.20E-13,5.20E-13,6.798809528,38.21390152,20.3159008,0,0,2.41,0.03,-0.0787,0.0136,9.10E-07,1.88E-07,1.2,10,2.34,0.0451,1.71,0.0952,756000000,629000000,3.04E-12,5.17E-13,0.9,9,6.73E-12,LP
13,A,ESO 416-G002,Sy1.9,PHL 1389,,bll,0.067922904,134,1.67,0.3,0.31,2.12E-11,2.92E-12,2.15E-12,38.828,-29.627,0.0592,548,2.027812958,0.177192733,1.65E-12,3.21E-13,3.21E-13,14.16720486,38.9007988,-29.65169907,0,0,2.19,0.07,0.0844,0.0549,3.31E-06,1.77E-06,1.7,11,1.92,8.92,2.3,0.0187,6.96,51.9,2.00E-10,2.09E-08,2,10,7.20E-11,LP
14,M,BZB J0244-5819,Beamed AGN,RBS 0351,,bll,0.031027886,1243,2.43,0.42,0.52,1.01E-11,1.13E-12,2.46E-12,41.188,-58.299,0.2645,581,1.745691299,0.050903689,6.70E-12,5.73E-13,5.73E-13,39.9550705,41.1576004,-58.32559967,0,0,2.29,0.02,-0.0728,0.00793,6.86E-07,8.76E-08,0.7,11,2.43,0.256,1.73,0.0487,29800000,78600000,1.05E-12,9.98E-13,0.6,10,1.84E-12,LP
15,M,QSO B0347-121,Beamed AGN,1ES 0347-121,,bll,0.017703556,191,2.2,0.36,0.42,1.57E-11,2.25E-12,3.31E-12,57.368,-11.983,0.18,789,1.758453965,0.087073743,3.89E-12,5.02E-13,5.02E-13,12.52437687,57.35390091,-11.99409962,0,0,2.39,0.03,-0.0821,0.0118,6.01E-07,1.12E-07,2,11,2.3,0.034,1.67,0.0748,1020000000,644000000,2.26E-12,3.08E-13,1.5,10,6.24E-12,LP
16,M,PKS 0352-686,Beamed AGN,PKS 0352-686,,bll,0.004428431,194,2.52,0.36,0.43,1.22E-11,1.44E-12,1.67E-12,58.28,-68.532,0.087,800,1.669465899,0.088745423,3.27E-12,4.43E-13,4.43E-13,8.323181152,58.2737999,-68.52819824,0,0,2.44,0.04,-0.104,0.0138,4.12E-07,9.20E-08,0.9,10,2.52,0.212,1.56,0.0957,112000000,215000000,9.47E-13,7.49E-13,0.9,9,1.34E-12,LP
17,M,PKS 0426-380,Beamed AGN,PKS 0426-380,,bll,0.059318463,1274,2.56,2.56,-2.56,3.82E-12,3.67E-12,3.58E-12,67.14,-37.887,0,903,2.097702265,0.006295787,2.13E-10,2.64E-12,2.64E-12,3498.595459,67.17299652,-37.94029999,0,0,0.91,0.06,0.186,0.00949,7.07E-07,1.65E-07,2.2,12,2.39,,2.01,0.00208,11600,54000,5.83E-12,,240.6,11,9.52E-12,2comp
18,M,PKS 0548-322,Beamed AGN,PKS 0548-322,,bll,0.054099527,305,3.23,1.23,2.34,1.82E-11,5.29E-12,6.16E-12,87.689,-32.273,0.069,1170,1.889395237,0.085219868,3.89E-12,4.65E-13,4.65E-13,9.009195328,87.62519836,-32.27709961,0,0,2.41,0.04,-0.0699,0.0126,1.14E-06,2.34E-07,0.8,11,3.24,0.846,1.88,0.0768,709000,1600000,1.24E-13,4.05E-13,0.9,10,6.85E-13,LP
19,M,PMN J0640-1253,Beamed AGN,TXS 0637-128,,bll,0.05615779,1297,2.56,0.74,1.18,7.87E-12,2.08E-12,2.51E-12,100.07,-12.866,0,1335,1.653947353,0.08480031,5.59E-12,7.20E-13,7.20E-13,4.921981335,100.0213013,-12.89599991,0,0,2.33,0.04,-0.0897,0.0136,4.47E-07,1.06E-07,0.3,11,2.55,0.409,1.59,0.0855,26600000,79900000,5.42E-13,8.29E-13,0.4,10,8.17E-13,LP
20,M,2MASX J07103005+5908202,Beamed AGN,1H 0658+595,,bll,0.00764748,360,2.28,0.24,0.26,2.41E-11,2.30E-12,2.77E-12,107.635,59.14,0.125,1433,1.688738585,0.048614744,6.69E-12,5.58E-13,5.58E-13,27.47393417,107.6233978,59.1352005,0,0,2.4,0.02,-0.0894,0.0073,9.12E-07,1.05E-07,2.7,10,2.32,0.0161,1.66,0.0631,548000000,92100000,3.36E-12,2.38E-13,1.6,9,6.85E-12,LP
